age,gender,dress,wind_speed,BMI,height,RH,in_car_temperature,PMV,PPD,M,need_temperature,The_wind_type,wind_scale,direction
老年,男,春秋装,低风,20.6,1.83,69.8,16.3,-3.22,99.7,1.031866517,25.5,暖气,大风,中
老年,女,冬装,无风,24.4,1.56,67.5,5.3,-4.02,100,0.962893114,24,暖气,大风,中
中年,女,夏装,大风,16.4,1.65,48.3,28,-0.8,18.5,0.979003943,无,无,无,无
老年,女,春秋装,大风,27.5,1.64,57.6,15.3,-5.61,100,0.958520005,21.5,暖气,大风,中
青年,女,春秋装,大风,27.8,1.7,49.9,21.2,-2.99,99.1,1.04833989,21.5,暖气,中风,上
青年,女,冬装,无风,25.2,1.6,61.9,6,-3.25,99.8,1.067615197,23,暖气,大风,中
青年,男,春秋装,大风,20.3,1.61,61.9,21.7,-2.27,87.2,1.158389522,21.5,暖气,低风,下
少年,男,春秋装,无风,27.5,1.65,73.3,18.9,-1.26,38.3,1.271227299,无,无,无,无
中年,男,夏装,大风,27,1.8,21.3,47.9,12.75,100,1.128695126,18.5,冷气,大风,中
老年,男,夏装,中风,17.8,1.69,15.7,45,10.6,100,0.974736376,18.5,冷气,大风,中
青年,男,春秋装,中风,23.8,1.65,56.9,17.1,-3.09,99.4,1.183781722,21.5,暖气,大风,中
老年,女,春秋装,无风,28.5,1.67,64.7,17.9,-2.16,83.6,0.957159481,24.5,暖气,低风,下
青年,男,夏装,低风,24.1,1.79,44.5,33.1,2.4,91.1,1.194550037,20.5,冷气,低风,下
青年,女,冬装,中风,15,1.71,58,11.1,-4.24,100,1.044969332,22.5,暖气,大风,中
童年,女,春秋装,低风,26.9,1.53,60.9,17.3,-2.47,92.8,1.151197236,25,暖气,低风,下
童年,男,春秋装,中风,24.9,1.4,80,21.6,-1.46,48.8,1.295474064,无,无,无,无
中年,女,冬装,低风,24.9,1.6,66.2,13.9,-2.98,99,0.997396509,25,暖气,中风,上
老年,男,夏装,大风,24.2,1.7,49,33.8,2.82,98,1.040842581,20.5,冷气,中风,上
少年,女,夏装,无风,17.6,1.52,61.2,24.7,-0.23,6.1,1.150915864,无,无,无,无
少年,男,春秋装,大风,15.7,1.74,41.6,21.3,-2.38,90.6,1.207800393,21.5,暖气,低风,下
童年,女,冬装,大风,17.8,1.63,58.1,6.2,-4.61,100,1.137179695,23.5,暖气,大风,中
青年,女,夏装,大风,15.9,1.72,34.7,30,0.46,9.4,1.043013891,无,无,无,无
青年,男,夏装,大风,18.3,1.82,49.2,26.2,-1.25,37.6,1.156610419,无,无,无,无
童年,男,冬装,中风,23.3,1.54,65,7.4,-3.4,99.9,1.281514275,23.5,暖气,大风,中
老年,女,夏装,低风,24.7,1.62,14,49.1,11.78,100,0.956071047,18.5,冷气,大风,中
少年,女,春秋装,低风,17.4,1.53,67.2,19,-2.28,87.5,1.148039685,25.5,暖气,低风,下
老年,男,春秋装,低风,18.4,1.66,43.3,18.7,-3.28,99.8,0.975029941,21.5,暖气,大风,中
少年,男,夏装,中风,15.6,1.81,37.1,33.1,2.25,86.6,1.20672603,20.5,冷气,低风,下
少年,女,春秋装,低风,17.3,1.72,58.1,15,-3.43,99.9,1.094943289,25.5,暖气,大风,中
青年,女,夏装,中风,30.7,1.64,40.8,30.8,0.69,14.9,1.058820329,20.5,通风,低风,下
老年,女,夏装,大风,27.4,1.53,22.2,36.3,4.49,100,0.971095777,19.5,冷气,大风,中
中年,男,夏装,低风,24.4,1.67,47.3,27.2,-0.08,5.1,1.090494318,无,无,无,无
中年,女,春秋装,低风,31.2,1.73,54.9,20.8,-2.29,87.9,0.987361173,21.5,暖气,低风,下
少年,女,冬装,中风,16.7,1.63,54.5,14.1,-3.03,99.2,1.119073462,22.5,暖气,大风,中
童年,男,夏装,大风,29.2,1.63,68.5,23.2,-2.17,83.9,1.30155283,21.5,暖气,低风,下
老年,男,春秋装,中风,33.1,1.6,71.5,15.3,-4.1,100,1.088244404,21.5,暖气,大风,中
少年,男,夏装,低风,18.2,1.7,50.8,31.8,1.83,68.7,1.224208685,20.5,通风,低风,下
童年,女,春秋装,低风,15.7,1.56,69.5,18.2,-2.11,81.5,1.163185245,25,暖气,低风,下
中年,女,夏装,低风,18.5,1.54,37.5,34.9,3.38,99.9,1.001456194,20.5,冷气,大风,中
青年,男,春秋装,无风,23.6,1.76,58.6,20.7,-0.97,25,1.18959209,无,无,无,无
中年,女,春秋装,中风,28.1,1.62,42.8,19.1,-3.77,100,0.997516803,21.5,暖气,大风,中
少年,女,春秋装,大风,26.2,1.7,57.6,21.2,-2.76,97.4,1.092394721,21.5,暖气,中风,上
少年,男,冬装,大风,27.1,1.64,68.3,2.4,-4.91,100,1.269520483,24.5,暖气,大风,中
青年,男,冬装,大风,23,1.65,50.7,12.2,-3.67,100,1.178820791,22.5,暖气,大风,中
老年,男,夏装,中风,17.8,1.64,47.3,23.8,-2.97,99,0.963842918,21.5,暖气,中风,上
少年,男,冬装,大风,30.3,1.72,77.5,1.8,-4.98,100,1.282958261,24.5,暖气,大风,中
童年,男,春秋装,中风,25.3,1.46,58.2,20,-2.15,83.1,1.293324022,21.5,暖气,低风,下
中年,女,春秋装,大风,15.3,1.64,81,18.6,-4.47,100,0.979007211,21.5,暖气,大风,中
老年,男,冬装,大风,22.6,1.61,62.7,1.1,-6.77,100,1.007061236,24.5,暖气,大风,中
中年,女,冬装,中风,27.7,1.62,69.3,12.2,-4.11,100,0.997147184,22.5,暖气,大风,中
少年,女,夏装,大风,19.3,1.52,45.9,29.1,0.24,6.2,1.147787091,无,无,无,无
中年,男,冬装,低风,17.2,1.82,77.8,13.7,-2.78,97.7,1.04835893,24.5,暖气,中风,上
老年,男,冬装,无风,25.6,1.72,77.8,14.2,-1.89,71.6,1.056792563,23,暖气,低风,下
老年,男,冬装,中风,20.7,1.76,51.3,4.4,-5.39,100,1.019825291,24.5,暖气,大风,中
老年,女,冬装,中风,15.1,1.73,65.3,13.3,-4.47,100,0.921665856,22.5,暖气,大风,中
童年,男,春秋装,大风,30.3,1.52,63.8,21.6,-1.84,68.9,1.308305694,21.5,暖气,低风,下
中年,男,夏装,无风,18,1.64,70.4,22.2,-1.23,36.7,1.029050279,无,无,无,无
童年,男,冬装,大风,24.3,1.62,57,9.5,-3.2,99.7,1.28287066,23.5,暖气,大风,中
老年,男,春秋装,中风,21.2,1.7,51,21.4,-2.63,95.8,1.012855753,21.5,暖气,中风,上
中年,女,春秋装,无风,20.8,1.73,71.5,18.3,-1.88,71.2,0.973926983,24,暖气,低风,下
青年,男,夏装,大风,27.4,1.79,44.7,26.2,-1.12,31.6,1.213456208,无,无,无,无
中年,女,夏装,大风,32.3,1.52,38.7,37.7,5.85,100,1.015185539,19.5,冷气,大风,中
青年,女,春秋装,中风,26.9,1.6,55.8,20.7,-2.68,96.5,1.067182494,21.5,暖气,中风,上
中年,女,冬装,大风,26.9,1.7,73.2,13.9,-3.98,100,0.985940781,22.5,暖气,大风,中
中年,男,春秋装,中风,17.7,1.63,58.3,17.1,-3.79,100,1.024352561,21.5,暖气,大风,中
少年,男,冬装,中风,17.4,1.75,55.8,5.4,-4.12,100,1.218977059,23.5,暖气,大风,中
青年,男,夏装,大风,29.1,1.63,24.1,48.8,12.77,100,1.211935026,18.5,冷气,大风,中
中年,女,冬装,低风,18.7,1.51,73.3,3.7,-4.91,100,1.007582019,25.5,暖气,大风,中
青年,男,春秋装,大风,32.2,1.64,55.3,21.1,-2.32,88.9,1.227522225,21.5,暖气,低风,下
老年,女,夏装,中风,20.5,1.69,34.2,37.9,5.74,100,0.940029004,19.5,冷气,大风,中
青年,男,冬装,中风,19.1,1.83,72.1,11.7,-3.48,100,1.163283422,22.5,暖气,大风,中
少年,男,夏装,低风,25.2,1.69,29.3,31.2,1.35,43.1,1.261219494,20.5,通风,低风,下
童年,男,春秋装,大风,28.4,1.45,58.5,17.2,-2.99,99.1,1.304901435,21.5,暖气,中风,上
老年,女,夏装,低风,21.7,1.69,21.5,49.2,12.22,100,0.942619337,18.5,冷气,大风,中
青年,男,春秋装,大风,31,1.84,74.4,15.2,-3.9,100,1.234820803,21.5,暖气,大风,中
老年,男,春秋装,大风,32.9,1.64,50.9,17.7,-3.68,100,1.095137418,21.5,暖气,大风,中
少年,男,夏装,无风,29.2,1.65,56.3,25.8,0.23,6.1,1.278164524,无,无,无,无
童年,女,春秋装,中风,23.1,1.58,53.6,21,-2.28,87.8,1.142797342,21.5,暖气,低风,下
青年,女,冬装,无风,26.7,1.55,75.8,3.8,-3.64,100,1.078017417,23.5,暖气,大风,中
中年,男,夏装,低风,23.8,1.64,31.4,38.1,4.97,100,1.080972886,19.5,冷气,大风,中
青年,男,冬装,无风,33.9,1.82,70.7,8.5,-2.25,86.7,1.246708464,22,暖气,低风,下
老年,男,春秋装,无风,31.3,1.83,52.3,18.9,-1.65,59,1.119110305,24.5,暖气,低风,下
青年,男,春秋装,大风,25.5,1.81,49.3,19.7,-2.99,99.1,1.204110721,21.5,暖气,中风,上
青年,男,冬装,大风,25.7,1.77,67.6,3.6,-4.93,100,1.202740536,24.5,暖气,大风,中
青年,女,冬装,低风,33.8,1.75,60,10.6,-3.74,100,1.041332106,24.5,暖气,大风,中
少年,男,春秋装,无风,29.1,1.79,73.8,19.2,-1.17,33.6,1.278967811,无,无,无,无
少年,女,冬装,大风,21.8,1.62,58.8,3.8,-5.35,100,1.115305311,24.5,暖气,大风,中
青年,女,夏装,中风,16.5,1.58,16.4,46,10.56,100,1.075346084,18.5,冷气,大风,中
童年,女,夏装,低风,27.6,1.59,46.1,32.3,2,76.9,1.133402944,20.5,通风,低风,下
童年,女,冬装,无风,24.6,1.57,59.3,0,-4.18,100,1.143268377,24,暖气,大风,中
中年,女,夏装,中风,15.6,1.59,27.5,47.5,12.68,100,0.988564818,18.5,冷气,大风,中
老年,男,夏装,中风,23.6,1.71,20.9,46.5,11.31,100,1.037505365,18.5,冷气,大风,中
童年,男,夏装,低风,20.8,1.56,39.3,34.1,2.82,98,1.269566911,20.5,冷气,中风,上
少年,男,冬装,低风,17.6,1.62,82.2,5.4,-3.52,100,1.22143679,23,暖气,大风,中
中年,男,夏装,无风,21,1.84,23.7,47.2,8.32,100,1.087255011,18.5,冷气,大风,中
中年,男,春秋装,大风,27.3,1.82,55.7,21,-2.69,96.7,1.133475908,21.5,暖气,中风,上
青年,女,夏装,无风,31.5,1.62,51.1,29.4,1.27,38.9,1.062368433,26,通风,低风,下
中年,男,冬装,中风,23.7,1.68,65.4,5.4,-4.72,100,1.086535186,23.5,暖气,大风,中
中年,女,夏装,大风,28.2,1.57,34.1,36.9,5.15,100,1.004806145,19.5,冷气,大风,中
老年,男,春秋装,低风,28.1,1.76,50.6,17.7,-2.63,95.7,1.084188004,25.5,暖气,中风,上
童年,男,冬装,无风,15.3,1.44,58.5,11.1,-2.21,85.4,1.249552772,22.5,暖气,低风,下
少年,男,春秋装,低风,29.9,1.65,54.8,16.8,-2.25,86.6,1.280906903,24.5,暖气,低风,下
童年,女,春秋装,无风,17.9,1.57,62.8,20.4,-1.09,30.2,1.155218678,无,无,无,无
青年,女,夏装,低风,16.5,1.68,24.7,43.1,7.77,100,1.051637027,18.5,冷气,大风,中
青年,男,春秋装,大风,30.6,1.78,73.3,18.2,-2.84,98.1,1.229130332,21.5,暖气,中风,上
老年,女,夏装,大风,21.9,1.71,51.1,25.3,-2.76,97.4,0.940943137,21.5,暖气,中风,上
少年,女,春秋装,无风,32,1.73,54.6,20.9,-1.11,31.2,1.083008079,无,无,无,无
少年,男,春秋装,低风,25,1.7,59.1,15.3,-2.72,97,1.260326676,24.5,暖气,中风,上
中年,男,夏装,无风,22.6,1.74,37.7,33.9,2.76,97.4,1.086698003,20.5,冷气,中风,上
青年,女,春秋装,无风,26.5,1.73,54.5,15.7,-2.43,91.9,1.043132354,24,暖气,低风,下
少年,男,春秋装,大风,28.4,1.77,51.3,18.6,-3.15,99.6,1.275836998,21.5,暖气,大风,中
少年,男,冬装,无风,28.1,1.7,90,5.7,-2.67,96.3,1.273960547,21.5,暖气,中风,上
童年,男,春秋装,低风,21.9,1.55,56.8,21.2,-1.26,38.3,1.275021596,无,无,无,无
少年,女,春秋装,低风,16.1,1.61,62.6,15.2,-3.22,99.7,1.125662836,24.5,暖气,大风,中
老年,女,春秋装,中风,27.8,1.66,61.8,18.7,-4.21,100,0.956992059,21.5,暖气,大风,中
童年,女,冬装,无风,26,1.65,65.7,2.6,-3.75,100,1.120154606,23.5,暖气,大风,中
中年,男,春秋装,大风,25,1.71,64,20.3,-3.08,99.4,1.101249891,21.5,暖气,大风,中
中年,男,冬装,大风,15.6,1.74,60.6,12.4,-4.31,100,1.019596192,22.5,暖气,大风,中
中年,男,冬装,无风,27.4,1.62,77.8,7.4,-2.8,97.8,1.104739994,22.5,暖气,中风,上
少年,男,春秋装,中风,17.3,1.81,59.9,16.1,-3.28,99.8,1.218233804,21.5,暖气,大风,中
老年,女,夏装,大风,27.1,1.5,49.8,31.4,0.76,17.2,0.974723738,20.5,通风,低风,下
老年,女,冬装,低风,33.6,1.7,56,3.1,-5.52,100,0.962247579,26.5,暖气,大风,中
少年,女,春秋装,大风,15.7,1.54,52.4,17.9,-3.36,99.9,1.148011237,21.5,暖气,大风,中
童年,男,春秋装,低风,31.3,1.46,59.8,15.1,-2.61,95.5,1.313819483,24.5,暖气,中风,上
中年,男,冬装,低风,30.6,1.64,75.1,4.2,-4.18,100,1.129256137,24.5,暖气,大风,中
青年,男,冬装,中风,18.2,1.83,53.8,6.3,-4.18,100,1.156426861,23.5,暖气,大风,中
青年,女,冬装,中风,18.3,1.57,53.3,10.1,-4.39,100,1.077037907,22.5,暖气,大风,中
童年,女,冬装,大风,32.8,1.58,64.8,11.4,-4.08,100,1.129439496,22.5,暖气,大风,中
青年,男,冬装,中风,23.8,1.77,60.9,1.1,-5.25,100,1.191457231,24.5,暖气,大风,中
童年,女,春秋装,中风,17.3,1.46,66.8,21.6,-1.81,67.5,1.194986238,21.5,暖气,低风,下
少年,男,春秋装,大风,18.2,1.8,59.3,19.9,-2.79,97.7,1.223967132,21.5,暖气,中风,上
少年,女,夏装,中风,25.3,1.63,25.5,36.9,4.54,100,1.109026622,19.5,冷气,大风,中
青年,女,夏装,低风,25.7,1.71,32.7,31.5,1.37,44,1.046424436,20.5,通风,低风,下
老年,女,冬装,低风,17.5,1.58,69.2,14.3,-3.24,99.8,0.947685301,25.5,暖气,大风,中
童年,女,春秋装,中风,29.9,1.6,67.2,19.4,-2.9,98.6,1.127890141,21.5,暖气,中风,上
中年,女,夏装,大风,33.2,1.71,11.5,47.5,13.46,100,0.991495555,18.5,冷气,大风,中
童年,女,夏装,中风,16.4,1.49,30.3,44.5,9.2,100,1.186102545,18.5,冷气,大风,中
青年,女,冬装,低风,15.8,1.66,68.7,5.6,-4.2,100,1.056140223,24,暖气,大风,中
老年,女,夏装,无风,22.7,1.51,18.9,45.4,7.93,100,0.967249718,18.5,冷气,大风,中
少年,女,冬装,低风,28.2,1.69,75.1,1.8,-4.9,100,1.093104721,25,暖气,大风,中
老年,女,夏装,大风,23.8,1.56,38.3,36,4.5,100,0.961949234,19.5,冷气,大风,中
少年,男,春秋装,低风,23.3,1.76,72,16.9,-2.23,86,1.252390031,24.5,暖气,低风,下
中年,男,春秋装,低风,19.5,1.61,63.9,21,-1.93,73.6,1.03859879,26,暖气,低风,下
老年,女,夏装,大风,30.3,1.58,17.1,45.3,12.01,100,0.968979324,18.5,冷气,大风,中
中年,女,春秋装,中风,33.1,1.64,78.8,16.5,-4.06,100,0.999291875,21.5,暖气,大风,中
老年,女,冬装,大风,28.2,1.71,73.7,5,-6.19,100,0.953015739,23.5,暖气,大风,中
老年,女,冬装,无风,33.8,1.53,62.7,14.4,-2.2,85,0.978795646,23.5,暖气,低风,下
青年,女,春秋装,无风,20.7,1.74,55.8,21.6,-0.97,24.7,1.04020596,无,无,无,无
童年,男,春秋装,低风,21.5,1.5,69.8,16.6,-2.26,87,1.275694331,24,暖气,低风,下
童年,男,冬装,低风,22.1,1.49,73.1,0.4,-4.36,100,1.278844183,24,暖气,大风,中
老年,男,春秋装,低风,15.5,1.77,57.3,15.4,-4.06,100,0.963667435,26,暖气,大风,中
少年,女,冬装,无风,21.4,1.66,57.8,13.1,-2.11,81.7,1.105628541,23,暖气,低风,下
童年,男,夏装,无风,26.1,1.65,42.9,32.1,2.06,79.2,1.289464162,25.5,冷气,低风,下
老年,女,冬装,低风,32.6,1.64,62.9,7.7,-4.26,100,0.966008986,25,暖气,大风,中
童年,女,冬装,中风,25.8,1.57,49,6.3,-4.26,100,1.141415776,23.5,暖气,大风,中
中年,男,冬装,低风,30.9,1.78,59.5,9.5,-2.92,98.7,1.151430296,24,暖气,中风,上
青年,女,冬装,低风,21.3,1.51,69.6,9.9,-3.02,99.2,1.090728141,24,暖气,大风,中
中年,男,冬装,大风,17.1,1.79,59.4,12.7,-4.1,100,1.04306208,22.5,暖气,大风,中
童年,女,夏装,无风,29.2,1.51,30.6,26.6,0.17,5.6,1.153415201,无,无,无,无
老年,男,冬装,中风,27.8,1.63,65.4,8.9,-3.95,100,1.056318544,23.5,暖气,大风,中
中年,男,冬装,低风,30.7,1.82,76.5,3.1,-4.3,100,1.155527491,24.5,暖气,大风,中
中年,女,春秋装,大风,31.7,1.59,76.3,15.1,-5.13,100,1.004608197,21.5,暖气,大风,中
青年,男,冬装,低风,18.7,1.79,85.6,6.1,-3.6,100,1.157882565,23.5,暖气,大风,中
童年,男,夏装,大风,32.4,1.58,47.8,34.6,3.32,99.8,1.313345518,20.5,冷气,大风,中
老年,女,冬装,低风,33.7,1.5,67.1,8.1,-4,100,0.982239337,25,暖气,大风,中
老年,男,冬装,大风,23.2,1.66,61.7,1.2,-6.62,100,1.023588931,24.5,暖气,大风,中
童年,女,春秋装,无风,16,1.47,70.6,21.6,-0.64,13.6,1.194702766,无,无,无,无
童年,男,春秋装,中风,27.7,1.41,74.7,19,-2.39,90.8,1.304724755,21.5,暖气,低风,下
青年,女,冬装,无风,18.2,1.73,74.1,13,-2.23,85.9,1.041499369,23,暖气,低风,下
少年,男,夏装,低风,31.1,1.77,40.4,32.1,1.9,71.9,1.286598446,20.5,通风,低风,下
老年,女,夏装,大风,25.2,1.69,33,45.8,13.07,100,0.949536124,18.5,冷气,大风,中
童年,女,春秋装,中风,26.8,1.64,72.9,16.5,-3.49,100,1.121664819,21.5,暖气,大风,中
老年,男,冬装,无风,22.4,1.75,72.6,6.1,-3.35,99.9,1.034343834,22.5,暖气,大风,中
青年,男,春秋装,无风,25.2,1.61,63.2,16.3,-1.89,71.4,1.18948545,23.5,暖气,低风,下
老年,男,夏装,低风,17.4,1.66,53.8,29.2,0.62,13.1,0.963676325,21.5,通风,低风,下
青年,女,春秋装,中风,20.3,1.67,69.1,19.2,-3.29,99.8,1.053748677,21.5,暖气,大风,中
童年,女,冬装,大风,19.2,1.54,59.8,3.1,-5.28,100,1.162214048,24.5,暖气,大风,中
少年,男,冬装,无风,32.7,1.8,57.3,10.8,-2.18,84.3,1.292966625,22.5,暖气,低风,下
中年,男,春秋装,无风,17.4,1.7,70.8,18.7,-1.79,66.6,1.032641982,24.5,暖气,低风,下
少年,男,冬装,大风,18.4,1.76,87.1,2,-5.19,100,1.225202183,24.5,暖气,大风,中
中年,女,冬装,无风,20.4,1.58,71.2,6.5,-3.45,99.9,0.996083022,23,暖气,大风,中
中年,男,冬装,低风,23.5,1.74,51.1,12.2,-3.12,99.5,1.094025282,24.5,暖气,大风,中
童年,女,冬装,低风,20.7,1.6,77.5,8.9,-3.05,99.3,1.140970707,23.5,暖气,大风,中
青年,男,夏装,低风,18.7,1.8,50,25.7,-0.56,11.5,1.15848111,无,无,无,无
青年,男,春秋装,中风,21.2,1.61,67.3,21.3,-2.02,77.5,1.164540722,21.5,暖气,低风,下
青年,男,春秋装,大风,17.5,1.64,71.1,15.9,-4.08,100,1.139602883,21.5,暖气,大风,中
童年,男,春秋装,中风,17.5,1.41,49,21.4,-1.78,66.1,1.263400903,21.5,暖气,低风,下
老年,男,冬装,大风,16.1,1.72,72,13.1,-4.5,100,0.960998819,22.5,暖气,大风,中
老年,男,春秋装,中风,20.2,1.81,75.3,18.5,-3.7,100,1.024208608,21.5,暖气,大风,中
青年,女,春秋装,低风,31,1.71,70.4,15.8,-3.32,99.9,1.046956266,25,暖气,大风,中
少年,女,冬装,无风,17.1,1.51,70.8,9.1,-2.35,89.8,1.155202209,22.5,暖气,低风,下
青年,女,冬装,无风,31.7,1.64,48.9,6.6,-3.19,99.7,1.058721006,23.5,暖气,大风,中
老年,女,冬装,无风,16.6,1.57,56.5,11,-3.38,99.9,0.947296406,24.5,暖气,大风,中
童年,男,春秋装,大风,18,1.43,66.2,19.5,-2.77,97.6,1.264169421,21.5,暖气,中风,上
少年,女,春秋装,中风,24.2,1.62,69.8,20.9,-2.34,89.3,1.112618475,21.5,暖气,低风,下
老年,女,春秋装,无风,31.9,1.51,50.5,18.3,-1.97,75.3,0.979087297,24.5,暖气,低风,下
老年,男,夏装,无风,15.8,1.82,23.9,42.6,6.61,100,0.976950933,18.5,冷气,大风,中
青年,男,冬装,低风,30,1.63,70.4,3.3,-4.01,100,1.216424008,24.5,暖气,大风,中
少年,男,春秋装,大风,21.1,1.7,65.3,17.2,-3.19,99.7,1.24079995,21.5,暖气,大风,中
少年,女,春秋装,无风,15.8,1.74,52.7,21.1,-1.05,28.2,1.091421411,无,无,无,无
中年,男,冬装,中风,16.6,1.63,63.9,4.9,-5.27,100,1.01291937,24.5,暖气,大风,中
童年,男,春秋装,大风,34.5,1.44,70,15,-3.62,100,1.324077199,21.5,暖气,大风,中
童年,男,春秋装,低风,19,1.58,71.5,19.6,-1.73,63.4,1.25992949,25,暖气,低风,下
青年,女,夏装,大风,26.5,1.55,41.3,26.2,-1.56,54,1.078102415,21.5,暖气,低风,下
老年,男,夏装,大风,32.3,1.84,36.9,38.6,6.19,100,1.127308054,19.5,冷气,大风,中
童年,男,夏装,中风,27.4,1.56,54.4,27.3,-0.05,5.1,1.296891106,无,无,无,无
青年,男,春秋装,无风,31.1,1.67,71.3,16.8,-1.65,59.2,1.224390569,23,暖气,低风,下
中年,女,春秋装,大风,29.5,1.67,62.7,19.3,-4.11,100,0.992388405,21.5,暖气,大风,中
童年,男,春秋装,无风,30.2,1.53,47.9,20.3,-0.95,24.1,1.307639156,无,无,无,无
中年,男,冬装,大风,19.5,1.7,75.7,10.2,-4.8,100,1.053264609,22.5,暖气,大风,中
老年,男,夏装,大风,32.7,1.82,28.5,42.8,9.14,100,1.126597997,18.5,冷气,大风,中
青年,女,春秋装,大风,16.7,1.62,68.2,20.7,-3.03,99.2,1.065361225,21.5,暖气,大风,中
老年,女,夏装,无风,15.5,1.65,33.9,42.8,7.11,100,0.933091401,18.5,冷气,大风,中
老年,女,冬装,中风,25.2,1.73,87.3,13.5,-4.07,100,0.945759904,22.5,暖气,大风,中
老年,女,冬装,低风,25,1.53,59.2,2.8,-5.54,100,0.967776947,26.5,暖气,大风,中
童年,女,夏装,无风,15.2,1.65,48.5,26,0.1,5.2,1.135880972,无,无,无,无
青年,男,冬装,中风,16.5,1.84,87,0.2,-5.68,100,1.143288919,24.5,暖气,大风,中
童年,女,冬装,无风,20.1,1.55,74.5,2.8,-3.57,100,1.15718923,23.5,暖气,大风,中
老年,男,冬装,低风,25.2,1.62,62.3,6.5,-4.11,100,1.032790653,24.5,暖气,大风,中
青年,女,夏装,中风,16.2,1.73,28.2,46.6,11.55,100,1.041017512,18.5,冷气,大风,中
童年,女,春秋装,低风,20.3,1.47,59.1,21.4,-1.4,45.4,1.183732411,无,无,无,无
童年,女,冬装,低风,26,1.61,64.2,3.6,-4.33,100,1.130291718,25,暖气,大风,中
老年,女,冬装,低风,19.2,1.54,59,1,-6.12,100,0.956981633,26.5,暖气,大风,中
老年,女,春秋装,大风,15,1.55,57.6,17.9,-4.54,100,0.947054645,21.5,暖气,大风,中
童年,女,春秋装,中风,21.3,1.64,57.6,15.8,-3.78,100,1.128873302,21.5,暖气,大风,中
童年,女,冬装,大风,19,1.56,54.5,0.8,-5.9,100,1.156190011,24.5,暖气,大风,中
老年,男,夏装,低风,17.7,1.81,49.8,29.1,0.65,14,0.997453103,21.5,通风,低风,下
少年,男,冬装,大风,27.9,1.73,77.7,13,-3,99.1,1.273347415,22.5,暖气,中风,上
少年,男,冬装,无风,29.5,1.79,68.4,5.6,-2.71,96.9,1.28059168,22,暖气,中风,上
少年,男,夏装,低风,26.9,1.63,50.9,34,2.9,98.6,1.268663465,20.5,冷气,中风,上
中年,男,夏装,大风,20.2,1.62,26.2,40,7.35,100,1.046815381,18.5,冷气,大风,中
童年,女,冬装,中风,19.9,1.62,66.7,0.4,-5.7,100,1.13655197,24.5,暖气,大风,中
